created_at,owner_id,owner_type,owner_name,id,name,visibility,readable_size,raw_size,collaborators,fork?,deleted?
2015-08-24 18:28:55 UTC,148,Organization,TE-BI-TabularModels,435,ActiveExposure,public,160KB,160,0,false,false
2015-08-24 18:32:16 UTC,148,Organization,TE-BI-TabularModels,436,TabularModelRefresh,public,228KB,228,0,false,false
2015-08-24 18:41:04 UTC,145,Organization,IT-Efficiencies,438,AccessControl,public,260KB,260,0,false,false
2015-08-26 15:33:43 UTC,45,Organization,TE-BI-SSRS,442,PowerPivotRefresh,public,168KB,168,0,false,false
2015-08-27 13:11:23 UTC,161,Organization,SE-Templates,443,angular-seed,public,24.58MB,24576,0,false,false
2015-08-27 14:49:32 UTC,29,User,sapozha,444,TIBCOSingleCubeProcessingOrchestration,public,0KB,0,0,false,false
2015-08-27 14:59:52 UTC,11,Organization,TE-BI-One-PnL,445,TIBCOSingleCubeProcessingOrchestration,public,188KB,188,0,false,false
2015-08-28 13:41:16 UTC,145,Organization,IT-Efficiencies,446,AccessControlTesting,public,292KB,292,0,false,false
2015-08-28 14:35:57 UTC,150,Organization,SE-Common,447,otpp-logger,public,96KB,96,0,false,false
2015-08-28 17:54:43 UTC,64,Organization,TF-InvestmentsPortal-IDLC,448,AggregationService-Views,public,196KB,196,0,false,false
2015-08-28 19:49:48 UTC,105,Organization,TF-InvestmentsPortal-EMC,449,AggregationService-Views,public,148KB,148,0,false,false
2015-08-31 14:30:36 UTC,151,Organization,TF-Delphix,450,EDBTFDEV,public,148KB,148,0,false,false
2015-08-31 14:31:10 UTC,151,Organization,TF-Delphix,451,EDBTFPORTALDEV,public,168KB,168,0,false,false
2015-08-31 17:22:11 UTC,5,User,digiacm,452,Jenkins-Dev-Config,public,96KB,96,0,false,false
2015-09-01 15:01:25 UTC,48,Organization,TF-InvestmentsPortal-IDCC,453,AggregationService-Views,public,164KB,164,0,false,false
2015-09-01 20:30:40 UTC,9,Organization,Investment-IT-Architecture,456,PositionStructureService,public,29.15MB,29152,0,false,false
2015-09-01 20:31:53 UTC,9,Organization,Investment-IT-Architecture,457,Fall-2015-Projects-Documents,public,4.08MB,4080,0,false,false
2015-09-02 12:38:07 UTC,38,Organization,EC-PORTAL-8,458,SearchResults,public,1.04MB,1044,0,false,false
2015-09-02 12:38:25 UTC,38,Organization,EC-PORTAL-8,459,SearchResultsV3,public,624KB,624,0,false,false
2015-09-02 13:02:04 UTC,38,Organization,EC-PORTAL-8,460,DocumentViewer,public,536KB,536,0,false,false
2015-09-02 13:20:52 UTC,106,Organization,TF-InvestmentsPortal-Core,461,Testing-EventModule-ScenarioRunner,public,284KB,284,0,false,false
2015-09-02 13:30:51 UTC,113,Organization,ETS,462,get_wsdl_PS_Script,public,100KB,100,0,false,false
2015-09-03 17:53:12 UTC,155,Organization,EC-IntranetSearch,468,EndecaRestfulService,public,580KB,580,0,false,false
2015-09-04 01:27:53 UTC,8,Organization,Trade-Efficiencies-TS,469,OTPP.TETool.CRDLogAnalyzer,public,216KB,216,0,false,false
2015-09-08 12:19:37 UTC,41,Organization,EC-eSearch,473,Search.Service,public,348KB,348,0,false,false
2015-09-10 14:26:12 UTC,145,Organization,IT-Efficiencies,476,HR-Report,public,20.98MB,20980,0,false,false
2015-09-10 14:43:45 UTC,76,User,rosenj,477,test,private,0KB,0,0,false,false
2015-09-10 16:58:41 UTC,56,Organization,Trade-Efficiencies-Findur,478,OTPP.Findur.STP.OpenComponents.OTPP152_ImportBonds,public,176KB,176,0,false,false
2015-09-10 17:21:08 UTC,154,User,ajong2,479,RSR_Deploy_PS_Script,public,81KB,81,0,true,false
2015-09-11 09:46:31 UTC,61,Organization,DevOps,480,GitHub-Services-BackEnd,public,1.14MB,1144,0,false,false
2015-09-11 09:56:18 UTC,61,Organization,DevOps,481,GitHub-Services-FrontEnd,public,156KB,156,0,false,false
2015-09-11 18:44:56 UTC,74,Organization,TE-BI-Sandbox,482,sandbox,public,116KB,116,0,false,false
2015-09-11 19:05:35 UTC,147,User,lopesr,483,EL_TestRepo,public,104KB,104,0,false,false
2015-09-14 17:04:26 UTC,58,Organization,EC-TAXOS,484,Taxos-Webservice,public,10.66MB,10664,0,false,false
2015-09-14 18:40:42 UTC,36,User,zhangch,485,OTPP.AgileManagement,private,6.04MB,6044,0,false,false
2015-09-16 14:12:57 UTC,162,Organization,TE-BI-Utilities,488,SharePointUilities,public,576KB,576,0,false,false
